nom_cientific;nom;mida_tronc;mida_escocell;x;y
Abies alba;Avet;>120;sense;485140,9414;4649447,067
Abies alba;Avet;20-50;sense;483613,5698;4646756,924
Abies alba;Avet;20-50;sense;485155,3660;4648374,728
Abies alba;Avet;80-120;sense;484634,1364;4646809,380
Abies alba;Avet;20-50;sense;483370,6660;4649416,562
Abies alba;Avet;80-120;sense;484626,4199;4646802,785
Abies alba;Avet;20-50;sense;484171,9634;4647747,800
Abies alba;Avet;50-80;sense;483630,8064;4646762,862
Abies alba;Avet;20-50;sense;483622,4161;4646738,305
Abies alba;Avet;20-50;sense;483626,7794;4646751,248
Abies alba;Avet;80-120;sense;484639,3800;4646828,431
Abies alba;Avet;50-80;sense;484790,5481;4646781,221
Abies alba;Avet;20-50;sense;484790,5589;4646784,633
Abies alba;Avet;50-80;sense;483657,6750;4646801,878
Abies alba;Avet;50-80;sense;483656,2205;4646797,564
Abies alba;Avet;80-120;sense;484584,1530;4646664,845
Abies alba;Avet;50-80;escocell_corregut;486502,9045;4646643,792
Abies alba;Avet;80-120;sense;484581,6191;4646655,621
Abies alba;Avet;80-120;escocell_corregut;486509,5672;4646641,565
Abies alba;Avet;20-50;sense;483643,3305;4646797,262
Abies alba;Avet;>120;escocell_corregut;485794,3866;4646766,920
Abies alba;Avet;50-80;sense;483407,3827;4649348,563
Abies alba;Avet;>120;sense;484640,5028;4646833,853
Abies alba;Avet;80-120;sense;485393,5813;4648665,481
Abies alba;Avet;20-50;sense;485155,2750;4648341,388
Abies alba;Avet;>120;sense;484636,7329;4646837,514
Abies alba;Avet;80-120;sense;484614,9457;4646768,185
Abies alba;Avet;20-50;sense;483372,8074;4649403,317
Abies alba;Avet;20-50;sense;485414,8308;4650198,330
Abies alba;Avet;80-120;sense;484605,8557;4646736,400
Abies alba;Avet;20-50;sense;485231,6318;4645048,236
Abies alba;Avet;20-50;sense;485563,4829;4647743,965
Abies alba;Avet;>120;sense;484629,8498;4646796,025
Abies alba;Avet;80-120;sense;483725,8419;4646410,026
Abies alba;Avet;20-50;sense;483617,1352;4646761,122
Abies alba;Avet;20-50;sense;483608,8892;4646750,957
Abies alba;Avet;50-80;sense;485831,2360;4646047,751
Abies alba;Avet;>120;sense;484618,0778;4646777,809
Abies alba;Avet;50-80;sense;483659,9992;4646797,888
Abies alba;Avet;50-80;sense;483653,5405;4646791,814
Abies alba;Avet;>120;sense;485687,9782;4648739,277
Abies alba;Avet;>120;sense;483738,6214;4649254,925
Abies alba;Avet;20-50;sense;484167,8536;4647865,654
Abies alba;Avet;20-50;sense;483637,3130;4646789,748
Abies alba;Avet;20-50;sense;483640,5448;4646793,836
Abies alba;Avet;20-50;sense;483630,8472;4646780,574
Abies alba;Avet;20-50;sense;483628,1700;4646776,042
Abies alba;Avet;20-50;sense;483634,3035;4646785,659
Abies alba;Avet;20-50;sense;483604,3209;4646745,543
Abies alba;Avet;20-50;sense;483646,3378;4646800,354
Abies alba;Avet;20-50;sense;483620,8147;4646766,649
Abies alba;Avet;20-50;sense;483624,2708;4646771,623
Abies alba;Avet;50-80;sense;483651,4457;4646798,904
Abies alba;Avet;20-50;sense;483628,7946;4646757,774
Abies alba;Avet;20-50;sense;485792,4988;4646820,199
Abies alba;Avet;80-120;sense;484582,9706;4646660,415
Abies alba;Avet;80-120;sense;483733,4344;4649344,968
Abies alba;Avet;20-50;sense;483367,1405;4649435,711
Abies alba;Avet;20-50;sense;484672,4167;4649127,818
Abies alba;Avet;>120;sense;484642,5120;4646838,055
Abies alba;Avet;20-50;sense;483624,7674;4646746,049
Abies alba;Avet;20-50;escocell_corregut;485802,3581;4646749,718
Abies alba;Avet;80-120;escocell_corregut;486510,2541;4646652,191
Abies alba;Avet;>120;sense;484792,5940;4646780,841
Abies alba;Avet;20-50;sense;485110,7192;4645137,055
Abies alba;Avet;50-80;>90;483534,3402;4648909,513
Abies alba;Avet;80-120;sense;484609,8914;4646729,075
Abies alba;Avet;20-50;sense;483958,3806;4646765,767
Abies alba;Avet;80-120;sense;485181,0159;4645079,940
Abies alba;Avet;>120;>90;485585,2241;4648733,618
Abies alba;Avet;50-80;>90;485258,5574;4646910,270
Abies x masjoanis;Avet de Masjoan;>120;sense;485110,7082;4648353,541
Abies x masjoanis;Avet de Masjoan;80-120;sense;485477,9511;4647053,273
Abies x masjoanis;Avet de Masjoan;50-80;sense;484301,5801;4646950,868
Accia dealbata;Mimosa;20-50;>90;483924,1203;4649140,025
Accia dealbata;Mimosa;20-50;sense;486630,7857;4646695,248
Accia dealbata;Mimosa;50-80;>90;483914,0906;4649122,412
Accia dealbata;Mimosa;20-50;sense;486597,4026;4646728,522
Accia dealbata;Mimosa;50-80;>90;484962,9409;4646803,532
Accia dealbata;Mimosa;20-50;sense;486629,3412;4646695,251
Accia dealbata;Mimosa;50-80;>90;483918,5886;4649142,459
Accia dealbata;Mimosa;20-50;escocell_corregut;485595,4568;4648252,601
Accia dealbata;Mimosa;20-50;sense;486631,9002;4646697,017
Accia dealbata;Mimosa;50-80;40-90;484981,7227;4646805,153
Accia dealbata;Mimosa;50-80;>90;483920,6534;4649128,511
Accia dealbata;Mimosa;50-80;>90;483921,8752;4649134,247
Accia dealbata;Mimosa;20-50;>90;483915,4075;4649128,536
Accia dealbata;Mimosa;20-50;sense;485601,8481;4646110,592
Accia dealbata;Mimosa;>120;sense;483879,2511;4645126,787
Accia dealbata;Mimosa;80-120;sense;483881,8693;4645129,747
Accia dealbata;Mimosa;80-120;sense;483884,3737;4645129,178
